class_id,student_id,score
1,1,4.0
1,2,7.6
1,3,8.1
1,4,2.4
1,5,6.4
1,6,6.8
1,7,0.1
1,8,1.5
1,9,4.0
1,10,3.5
1,11,3.8
1,12,1.1
1,13,6.2
1,14,1.1
1,15,7.4
1,16,7.0
1,17,3.9
1,18,3.9
1,19,6.1
1,20,7.5
2,21,7.8
2,22,4.7
2,23,7.3
2,24,3.0
2,25,1.5
2,26,6.2
2,27,4.8
2,28,9.1
2,29,0.2
2,30,4.1
2,31,6.6
2,32,2.5
2,33,6.8
2,34,7.7
2,35,5.5
2,36,7.2
2,37,9.0
2,38,9.4
2,39,10.0
2,40,9.4
3,41,4.1
3,42,8.7
3,43,1.8
3,44,6.8
3,45,7.2
3,46,0.0
3,47,9.8
3,48,6.1
3,49,0.0
3,50,9.5
3,51,10.0
3,52,0.1
3,53,1.9
3,54,0.1
3,55,5.9
3,56,9.6
3,57,1.0
3,58,1.9
3,59,2.0
3,60,8.6
4,61,4.0
4,62,0.9
4,63,1.8
4,64,4.8
4,65,7.8
4,66,6.2
4,67,1.9
4,68,3.8
4,69,9.2
4,70,1.5
4,71,2.7
4,72,8.7
4,73,2.6
4,74,4.0
4,75,7.8
4,76,6.4
4,77,3.4
4,78,8.9
4,79,2.6
4,80,7.9
5,81,0.1
5,82,6.2
5,83,4.7
5,84,9.0
5,85,5.4
5,86,3.7
5,87,3.6
5,88,0.5
5,89,1.5
5,90,4.1
5,91,3.5
5,92,9.3
5,93,3.0
5,94,3.2
5,95,3.2
5,96,8.7
5,97,7.8
5,98,3.9
5,99,0.5
5,100,3.9
6,101,4.5
6,102,2.7
6,103,5.0
6,104,2.5
6,105,8.6
6,106,6.2
6,107,0.2
6,108,4.2
6,109,8.9
6,110,7.4
6,111,5.5
6,112,8.3
6,113,0.4
6,114,9.5
6,115,5.5
6,116,6.9
6,117,6.2
6,118,8.8
6,119,3.2
6,120,3.0
7,121,5.0
7,122,6.1
7,123,3.6
7,124,4.3
7,125,3.6
7,126,9.4
7,127,2.8
7,128,8.5
7,129,8.6
7,130,7.1
7,131,6.1
7,132,0.9
7,133,7.6
7,134,7.4
7,135,9.5
7,136,0.3
7,137,5.3
7,138,3.2
7,139,3.9
7,140,3.2
8,141,5.5
8,142,4.7
8,143,9.1
8,144,5.4
8,145,0.9
8,146,1.8
8,147,2.8
8,148,1.2
8,149,8.2
8,150,8.8
8,151,0.6
8,152,1.8
8,153,1.4
8,154,4.7
8,155,4.6
8,156,1.5
8,157,5.8
8,158,7.6
8,159,4.7
8,160,9.5
9,161,6.9
9,162,6.5
9,163,5.8
9,164,2.3
9,165,9.8
9,166,8.5
9,167,1.7
9,168,7.2
9,169,4.6
9,170,1.0
9,171,9.8
9,172,4.9
9,173,6.1
9,174,5.2
9,175,1.6
9,176,6.7
9,177,7.4
9,178,1.3
9,179,9.5
9,180,1.1
10,181,2.5
10,182,1.7
10,183,6.3
10,184,1.4
10,185,6.2
10,186,2.5
10,187,8.6
10,188,5.5
10,189,2.6
10,190,1.7
10,191,2.9
10,192,8.7
10,193,2.8
10,194,6.1
10,195,0.5
10,196,10.0
10,197,5.7
10,198,1.7
10,199,4.5
10,200,8.9
11,201,1.5
11,202,1.5
11,203,8.1
11,204,0.1
11,205,9.8
11,206,8.5
11,207,2.0
11,208,6.6
11,209,5.8
11,210,5.5
11,211,1.8
11,212,1.4
11,213,10.0
11,214,7.8
11,215,6.7
11,216,2.7
11,217,6.3
11,218,7.3
11,219,7.0
11,220,2.5
12,221,8.5
12,222,9.1
12,223,7.6
12,224,9.4
12,225,5.1
12,226,1.6
12,227,5.7
12,228,8.5
12,229,8.6
12,230,4.0
12,231,3.8
12,232,1.1
12,233,7.7
12,234,0.9
12,235,0.4
12,236,2.0
12,237,7.2
12,238,6.2
12,239,1.0
12,240,8.3
13,241,8.9
13,242,8.8
13,243,7.7
13,244,3.6
13,245,8.9
13,246,4.3
13,247,2.8
13,248,4.2
13,249,0.2
13,250,3.1
13,251,9.3
13,252,8.8
13,253,7.5
13,254,6.2
13,255,0.5
13,256,5.0
13,257,5.0
13,258,0.4
13,259,9.0
13,260,9.7
14,261,5.0
14,262,9.3
14,263,2.7
14,264,0.3
14,265,7.3
14,266,5.7
14,267,6.3
14,268,0.5
14,269,9.7
14,270,3.1
14,271,8.6
14,272,3.4
14,273,1.2
14,274,8.0
14,275,6.0
14,276,1.7
14,277,3.3
14,278,4.9
14,279,2.3
14,280,0.1
15,281,1.2
15,282,1.8
15,283,1.3
15,284,6.6
15,285,5.3
15,286,2.5
15,287,7.2
15,288,5.3
15,289,7.7
15,290,8.4
15,291,9.4
15,292,9.0
15,293,8.7
15,294,1.1
15,295,1.6
15,296,2.8
15,297,7.3
15,298,6.6
15,299,1.5
15,300,7.6
16,301,2.6
16,302,7.5
16,303,1.7
16,304,7.9
16,305,0.5
16,306,3.3
16,307,2.3
16,308,7.0
16,309,7.6
16,310,1.2
16,311,0.7
16,312,4.7
16,313,9.7
16,314,9.4
16,315,2.1
16,316,1.4
16,317,4.3
16,318,8.5
16,319,5.8
16,320,5.9
17,321,1.0
17,322,9.8
17,323,6.9
17,324,2.8
17,325,8.4
17,326,7.2
17,327,5.8
17,328,9.2
17,329,0.0
17,330,0.6
17,331,8.7
17,332,8.7
17,333,8.6
17,334,9.0
17,335,6.1
17,336,3.2
17,337,7.6
17,338,8.4
17,339,0.1
17,340,7.5
18,341,9.0
18,342,6.4
18,343,6.5
18,344,7.2
18,345,1.4
18,346,6.6
18,347,1.7
18,348,3.2
18,349,0.7
18,350,0.5
18,351,9.5
18,352,1.5
18,353,0.7
18,354,4.6
18,355,9.8
18,356,7.6
18,357,2.6
18,358,5.7
18,359,3.5
18,360,0.1
19,361,3.3
19,362,5.2
19,363,3.7
19,364,3.6
19,365,3.6
19,366,9.7
19,367,8.2
19,368,5.3
19,369,2.0
19,370,4.7
19,371,6.6
19,372,9.8
19,373,0.8
19,374,6.8
19,375,2.6
19,376,9.3
19,377,6.9
19,378,2.3
19,379,9.6
19,380,8.5
20,381,5.2
20,382,4.9
20,383,4.1
20,384,7.0
20,385,6.7
20,386,8.1
20,387,2.4
20,388,6.5
20,389,0.8
20,390,1.9
20,391,10.0
20,392,4.7
20,393,8.9
20,394,6.6
20,395,5.3
20,396,9.9
20,397,1.8
20,398,7.3
20,399,8.6
20,400,3.0
21,401,4.3
21,402,8.7
21,403,6.2
21,404,7.6
21,405,1.5
21,406,9.0
21,407,7.3
21,408,3.6
21,409,5.7
21,410,9.2
21,411,0.8
21,412,3.8
21,413,8.1
21,414,7.4
21,415,7.8
21,416,7.3
21,417,5.6
21,418,4.7
21,419,1.9
21,420,8.1
22,421,6.9
22,422,8.9
22,423,7.4
22,424,6.4
22,425,5.9
22,426,2.9
22,427,8.3
22,428,3.5
22,429,6.1
22,430,0.3
22,431,2.6
22,432,1.0
22,433,4.1
22,434,5.9
22,435,5.9
22,436,5.3
22,437,8.3
22,438,9.0
22,439,6.8
22,440,1.5
23,441,6.1
23,442,4.6
23,443,2.4
23,444,0.7
23,445,6.1
23,446,4.1
23,447,3.9
23,448,6.2
23,449,5.5
23,450,6.8
23,451,1.1
23,452,9.5
23,453,3.1
23,454,3.2
23,455,9.3
23,456,9.3
23,457,6.3
23,458,0.1
23,459,4.7
23,460,5.0
24,461,7.5
24,462,9.6
24,463,7.0
24,464,1.9
24,465,1.1
24,466,5.4
24,467,4.3
24,468,2.7
24,469,4.9
24,470,0.7
24,471,5.9
24,472,1.7
24,473,7.3
24,474,6.8
24,475,4.0
24,476,5.9
24,477,2.3
24,478,9.5
24,479,6.1
24,480,8.3
25,481,8.9
25,482,5.7
25,483,8.9
25,484,8.3
25,485,4.2
25,486,4.2
25,487,1.2
25,488,6.6
25,489,1.7
25,490,8.9
25,491,6.4
25,492,5.0
25,493,8.9
25,494,6.3
25,495,1.6
25,496,8.3
25,497,8.8
25,498,1.4
25,499,0.6
25,500,1.2
26,501,3.9
26,502,4.5
26,503,4.6
26,504,4.6
